Part Image,Part Name,Information
https://m.media-amazon.com/images/I/61U1hBHEfJL._AC_SY355_.jpg,DJI Neo Propeller Guard,In the Box: DJI Neo Propeller Guard (Pair) × 1
https://m.media-amazon.com/images/I/514K0mwj+KL._AC_SY355_.jpg,DJI Neo Two-Way Charging Hub,In the Box: DJI Neo Two-Way Charging Hub × 1
https://m.media-amazon.com/images/I/61EM2pLu3hL._AC_SY355_.jpg,DJI Neo Intelligent Flight Battery,In the Box: DJI Neo Intelligent Flight Battery × 1
https://m.media-amazon.com/images/I/61IaUMLXUlL._AC_SY355_.jpg,DJI Neo Propellers,In the Box: DJI Neo Propellers (Pair) × 2
https://m.media-amazon.com/images/I/61vXYKMkDZL._AC_SY355_.jpg,DJI RC-N3 Remote Controller,In the Box: Remote Controller × 1 RC Cable (USB-C Connector) ×1 RC Cable (Lightning Connector) × 1
