Drone Name,Unfolded Size,Folded Size,Flight Altitude/Radius,Flight Speed,Camera Parameters,Field of view,Tank Capacity,Tank Payload,Battery Capacity,Battery Type
V50,1058 mm × 525 mm × 489 mm (blades & arms folded),1210 mm × 2814 mm × 575 mm (blades unfolded),2000 m,12 m/s,"Obstacle's position, distance, direction of motion, relative velocity",Horizontal：±40°; Vertical：+90° - -45°,20 L,20 kg,20000 mAh (962 Wh),13S Lithium Polymer Battery
P100 PRO,893 mm x 1095 mm x 345 mm (blades and arms folded),2927 mm x 2868 mm x 323 mm (blades unfolded),2000 m,13.8 m/s,"Obstacle's position, distance, direction of motion, relative velocity",Horizontal：±40°; Vertical：+90° ~ -45°,50 L,50 kg,20000 mAh (962 Wh),13S Lithium Polymer Battery
DJI AGRAS T50,2800 mm × 3085 mm × 820 mm (arms and propellers unfolded),1115 mm × 750 mm × 900 mm (arms and propellers folded)",2000 m,6 m/s,"Adequate light and discernible surroundings",Horizontal: 90°; Vertical: 106°,30 L,40 kg,30000 mAh,DB1560 Intelligent Flight Battery (BAX702-30000mAh-52.22V)
DJI AGRAS T40,2800 mm × 3150 mm × 780 mm (arms and propellers unfolded),1125 mm × 750 mm × 850 mm (arms folded),2000 m,6 m/s,"Normal lighting with clearly textured surfaces",Horizontal; 90°; Vertical: 106°,30L,40kg,30000 mAh,BAX601-30000mAh-52.22V
DJI AGRAS T25,2585 mm × 2675 mm × 780 mm (arms and propellers unfolded),1050 mm × 690 mm × 820 mm (arms and propellers folded),2000 m, 6 m/s,"Adequate light and discernible surroundings",Horizontal: 90°; Vertical: 106°,20L,25kg,15500 mAh,DB800 Intelligent Flight Battery
DJI ARGAS T30,2858 mm × 2685 mm × 790 mm (arms and propellers unfolded),1170 mm × 670 mm × 857 mm (with arms folded),4500 m,6 m/s,"1280×720 15-30 fps",Horizontal: 129°; vertical:82°,30L,30kg,29000 mAh,BAX501-29000 mAh-51.8V
DJI AGRAS T10,1958 mm x 1833 mm × 553 mm (arms and propellers unfolded),600 mm × 665 mm × 580 mm (arms and propellers folded),4500 m,6 m/s,"1,280×720 15-30 fps",Horizontal: 129°; vertical:82°,8L,8kg,9500 mAh,BAX501-9500mAh-51.8V
