Drone Name,Video Resolution,Video Format,Max Speed,Flight Distance (Vertical & Horizontal),Internal Storage,Battery Capacity,Max Hover Time
DJI AVATA,4K@30/50/60fps 2.7K@30/50/60/100/120fps 1080p@30/50/60/100/120fps,Supports MP4 plus Normal Mode & Wide Mode and Ultra Wide Mode,27 m/s,5000m for 11.6 km,20GB(expandable upto 256GB),2420 mAh,approx 18 min
DJI AVATA 2, 4K (4∶3): 3840×2880@30/50/60fps 4K (16∶9): 3840×2160@30/50/60/100fps 2.7K (4∶3): 2688×2016@30/50/60fps 2.7K (16∶9): 2688×1512@30/50/120fps 1080p (4∶3): 1440×1080@30/50/120fps 1080p (16∶9): 1920×1080@30/50/120fps,Supports MP4 plus Normal Mode & Wide-Angle Mode and Ultra-Wide-Angle Mode,27 m/s,5000m for 13 km,46GB(expandable upto 512GB),2150 mAh,approx 23 min
